id,__v,_id,name,type,onMap,overX,overZ,owner,isBank,radius,isCourt,netherX,netherZ,dateFrom,isOffice,createdAt,updatedAt,colorNether,description,isProhibition
876,0,650ef5b2cf063d67c09336c3,Problemsisity,База,false,-15639,-357,problemsis,false,1000,false,-1949,-10,19.09.2023,false,2023-09-23T14:26:58.019Z,2023-09-24T18:41:53.862Z,blue,культ личности,false
874,0,650ef5b1cf063d67c09336bb,Грибник Змея,База,false,-33900,-2950,Kzmey_,false,500,false,-4206,-341,18.09.2023,false,2023-09-23T14:26:57.853Z,2023-09-23T14:26:57.853Z,blue,чудный остров Змея,false
873,0,650ef5b1cf063d67c09336b7,База Кенеса,База,false,1680,14553,BaRMaLeI_,false,600,false,217,1825,18.09.2023,false,2023-09-23T14:26:57.769Z,2023-11-22T11:18:39.190Z,yellow,Владения Казахстана,false
872,0,650ef5b1cf063d67c09336b3,Базисная База,База,false,-17120,6120,Filagen,false,250,false,-2133,766,17.09.2023,false,2023-09-23T14:26:57.685Z,2023-09-23T14:26:57.685Z,blue,"хайп, для 
меня одного
",false
871,0,650ef5b1cf063d67c09336af,эм фто,База,false,586,19110,tuntsovaa,false,1300,false,72,2,17.09.2023,false,2023-09-23T14:26:57.601Z,2023-09-23T14:26:57.601Z,green,-,false
870,0,650ef5b1cf063d67c09336ab,пениснаябаза шайлушай э,База,false,8708,-11948,neikysohigh,false,50,false,1080,-1500,17.09.2023,false,2023-09-23T14:26:57.519Z,2023-09-23T14:26:57.519Z,red,-,false
868,0,650ef5b1cf063d67c09336a3,"Личная
тера
 MaxPlayYT_7406",База,false,-26688,-26813,MaxPlayYT_7406,false,600,false,-3333,-3360,14.09.2023,false,2023-09-23T14:26:57.352Z,2023-09-23T14:26:57.352Z,red,Тупо личная тера под фермы,false
867,0,650ef5b1cf063d67c093369f,Тера Саламандри,База,false,6801,-21235,MrSalamandra,false,2000,false,855,-2640,14.09.2023,false,2023-09-23T14:26:57.271Z,2023-09-23T14:26:57.271Z,red,-,false
866,0,650ef5b1cf063d67c093369b, база няшки,База,false,516,-14094, neftyanka,false,64,false,59,-1758,13.09.2023,false,2023-09-23T14:26:57.190Z,2023-09-23T14:26:57.190Z,red,моя добрая топовая база где будут очень няшные постройки зайки хотари,false
865,0,650ef5b1cf063d67c0933697,бобросити2,База,false,-16822,1463,cwhai,false,800,false,-2101,182,12.09.2023,false,2023-09-23T14:26:57.106Z,2023-09-23T14:26:57.106Z,blue,-,false
864,0,650ef5b1cf063d67c0933693,Монумент,База,false,-28414,-12751,chwai,false,200,false,-3556,-1594,11.09.2023,false,2023-09-23T14:26:57.024Z,2023-09-23T14:26:57.024Z,blue,"подводный 
монумент ферма",false
863,0,650ef5b0cf063d67c093368f,Биг Бен,База,false,-6646,-8286,Defaunter_,false,200,false,-823,-1035,10.09.2023,false,2023-09-23T14:26:56.942Z,2023-09-23T14:26:56.942Z,red,Большая база для ферм и ресов (куплена) ,false
862,0,650ef5b0cf063d67c093368b,База игрока Mazich,База,false,-750,-10311,Mazich,false,30,false,-93,-1288,10.09.2023,false,2023-09-23T14:26:56.862Z,2023-11-17T12:35:19.963Z,red,<p>База игрока Mazich</p>,true
861,0,650ef5b0cf063d67c0933687,ArtMatiz,База,false,-31700,5500,Salunee,false,1499,false,-4000,-700,10.09.2023,false,2023-09-23T14:26:56.779Z,2024-03-02T13:47:18.212Z,blue,Меза кайфовая,false
860,0,650ef5b0cf063d67c0933683,скибиди туалет против камера мена сигма 3,База,false,-31614,-12307,RANEWALL,false,300,false,-3951,-1538,10.09.2023,false,2023-09-23T14:26:56.695Z,2023-09-23T14:26:56.695Z,blue,База,false
859,0,650ef5b0cf063d67c093367f,"mystical     
base",База,false,-578,-21475,ZzzxlonWillt,false,350,false,-71,-2668,10.09.2023,false,2023-09-23T14:26:56.612Z,2023-11-22T18:55:32.418Z,red,база игрока,false
858,0,650ef5b0cf063d67c093367b,Военные склады,База,false,-1600,9040,SirTulpa,false,500,false,-205,1123,10.09.2023,false,2023-09-23T14:26:56.528Z,2024-05-15T16:31:23.981Z,yellow,База,true
857,0,650ef5b0cf063d67c0933677,PortalEnd,База,false,8708,-11948,neikysohigh,false,50,false,1080,-1500,09.09.2023,false,2023-09-23T14:26:56.446Z,2023-09-23T14:26:56.446Z,red,Портал в энд,false
856,0,650ef5b0cf063d67c0933673,ТипсТерра,База,false,-4048,-368,Tipsik420,false,100,false,-500,-30,08.09.2023,false,2023-09-23T14:26:56.365Z,2023-09-23T14:26:56.365Z,blue,"Невероятное место для фармма мешкофф, горшкофф, кишкофф.",false
854,0,650ef5b0cf063d67c093366b,База wa1ne,База,false,-7054,6628,wa1ne,false,100,false,-878,833,04.09.2023,false,2023-09-23T14:26:56.203Z,2023-10-13T16:36:59.275Z,yellow,Без описания,false
852,0,650ef5b0cf063d67c0933663,Кожурка,База,false,-28588,-1087,_HolanDiversity_,false,2000,false,-3572,-135,02.09.2023,false,2023-09-23T14:26:56.039Z,2023-09-23T14:26:56.039Z,blue,База отпетых мандаринов,false
851,0,650ef5afcf063d67c093365f,ПОНчик,База,false,-13025,-30177,_Guakamole_,false,2000,false,-1628,-3772,01.09.2023,false,2023-09-23T14:26:55.957Z,2023-09-23T14:26:55.957Z,red,Лютые пончики даб,false
850,0,650ef5afcf063d67c093365b,база sytosu,База,false,3578,-15535,sytosu,false,2000,false,446,-1944,01.09.2023,false,2023-09-23T14:26:55.873Z,2023-09-23T14:26:55.873Z,red,типа база,false
849,0,650ef5afcf063d67c0933657,Эщкерия,База,false,3300,13200,Endee4ka,false,2000,false,320,1480,31.08.2023,false,2023-09-23T14:26:55.788Z,2024-04-21T18:58:44.820Z,yellow,<p>-</p>,true
848,0,650ef5afcf063d67c0933653,Частный Комплекс Варден(ЧКВ),База,false,-13425,-28050,Mityakarpik,false,2000,false,-1678,-3506,29.08.2023,false,2023-09-23T14:26:55.706Z,2023-09-23T14:26:55.706Z,red,"Территория для хранения большого
кол-ва Варденов",false
847,0,650ef5afcf063d67c093364f,XYZ,База,false,-74,-20613,MARKALLICA,false,500,false,1,-2570,29.08.2023,false,2023-09-23T14:26:55.622Z,2023-09-23T14:26:55.622Z,red,база,false
