,,,,,,,,,,
,,,,,,,,,,
№,РЕЕСТ ЗАРЕГИСТРИРОВАННЫХ БАЗ СП5 (ВЕДЁТСЯ МИНИСТЕРСТВОМ ЮСТИЦИИ),,,,,,,,,
,ОБЩАЯ ХАРАКТЕРИСТИКА,,,КООРДИНАТЫ,,,,,РЕГИСТРАЦИЯ ТЕРРИТОРИИ,
,,,,Верхний мир,,,Нижний мир,,,
,Название,Описание,Владелец,X,Z,Радиус,X,Z,Дата,Ссылка на пост
179,"Ферма опыта
pipiskina",Убежище и Ферма опыта зомби и скелетов,MEGApipiskin228,192,-6119,55,12,-756,19.02.2023,
180,Берлога Двух Малышей,"Ну чо, просто территория для базы там, склада","Akimyro, Boobaw",-23852,-18484,1500,-3124,-2323,19.02.2023,-
181,REZEKNE,-,redfashonka,1790,1864,70,223,233,19.02.2023,-
182,rrr,Вайбовое место,rkrr_,2000,24000,500,258,2967,20.02.2023,-
183,артовая бомбильня,бля не зарегана с лета я в ахуе,daridie,6590,2690,500,830,310,20.02.2023,-
184,Мегаструктура,"«Мегаструктура» — это огромная, независимая, искусственная конструкция в виде обширного и хаотично застроенного комплекса из металла, бетона и полимеров. Её точные размеры на данный момент неизвестны. Однако из предыстории нам известно, что Мегаструктура возникла на Земле и постепенно разрослась до таких размеров, что достигла Луны.",lShayLl,-15000,1300,750,-1875,160,21.02.2023,-
185,Астер,Крутая база для полнейшего расчилла,lepol9,11192,-370,1200,1400,-47,"22.02.
2023",
186,Фанагория,Подводная база,Capybarych,12002,-10744,500,1500,-1343,23.02.2023,-
187,Redstore showroom,"Место, где можно посмотреть на механизмы которые были построены сотрудниками фирмы Redstore.",MrTimurer,-6475,-42,200,-800,0,24.02.2023,
188,Старая Кукковка,Обычная уютная дача,Konstantinushka,15900,-6400,750,1985,-802,25.02.2023,
189,База Tinnchik,ну моя база на которой я буду строить фермы и пару домиков,Tinnchik,2050,13050,350,256,1630,26.02.2023,
190,Santorini,Территория NoxxyLX,NoxxyLX,23145,3799,1500,2902,474,02.03.2023,-
191,kakul,Без описание,kakitch,23232,6276,1500,2902,900,03.03.2023,-
192,Горы Keimda,Крутые горы,Kasturagil,5060,24244,280,570,3033,03.03.2023,
193,"Зона ферм 
Betankur",Фермы,Betankur,-7541,-370,150,-932,-32,03.03.2023,-
194,Лесная копоть,Жёсткая яма лесной копоти,Furt1k,-10219,-1450,450,-1277,-181,03.03.2023,-
195,привет Алиса,скромный человечек построил ямочку,upakowka,-14110,-8447,500,-1777,-1055,04.03.2023,
196,Коперская народная республика,Единственное место на сп без кирла,svin_goool,17100,505,2000,2134,83,05.03.2023,-
197,"Колония Хутакпаз 
Сити",-,AlcGamer137,24801,23867,2000,3100,2983,05.03.2023,-
